TissueName,avg_nGene,avg_nReads
acrossAllTissues,3049.23594781754,791160.555312783
Aorta,2516.00980392157,789839.053921569
Bladder,4846.7648766328,914125.436865022
Brain_Myeloid,2128.66285072952,703771.848484849
Brain_NonMyeloid,3160.85768891502,1018043.59776536
Diaphragm,2018.43218390805,502615.785057471
Fat,3049.77994765452,888723.963358164
Heart,2680.37892325315,896973.861168385
Kidney,1575.12524084778,524004.408477842
Large_Intestine,4069.08963941087,799820.483494159
Limb_Muscle,2458.19449541284,777299.562385321
Liver,3569.55742296919,881901.149859944
Lung,2515.73426573427,803134.333916084
Mammary_Gland,3600.63076923077,875241.512266112
Marrow,3147.53305539011,749840.629144332
Pancreas,4284.20012787724,1208236.19373402
Skin,3418.77532467532,711336.047619048
Spleen,1823.6110783736,488660.140836771
Thymus,1974.51223128243,744568.014084507
Tongue,4758.80014124294,802306.073446328
Trachea,3388.06888888889,742769.01037037
