TissueName,avg_nGene,avg_nUMI
acrossAllTissues,1915.41598390111,7709.34977360931
Bladder,3048.3984,14280.3904
Heart_and_Aorta,2347.39583333333,6708.95192307692
Kidney,2137.75404530744,6311.48975188781
Limb_Muscle,1540.76014109347,5027.07297178131
Liver,1399.24769647696,4623.78807588076
Lung,1714.07579372362,4623.50467975775
Mammary_Gland,1863.98482481589,8012.46797589824
Marrow,2325.71878422782,11568.143483023
Spleen,1321.49675460637,4104.32537688442
Thymus,2192.83694891533,7548.08397480756
Tongue,3100.98195807907,18338.5119395065
Trachea,1480.63572632887,4324.04179607773
