"","x"
"1","granulocyte"
"2","basophil"
"3","Slamf1-positive multipotent progenitor cell"
"4","megakaryocyte-erythroid progenitor cell"
"5","immature B cell"
"6","hematopoietic precursor cell"
"7","monocyte"
"8","late pro-B cell"
"9","naive B cell"
"10","immature T cell"
"11","common lymphoid progenitor"
"12","macrophage"
"13","B cell"
"14","Slamf1-negative multipotent progenitor cell"
"15","pre-natural killer cell"
"16","pro-B cell"
"17","granulocyte monocyte progenitor cell"
"18","mature natural killer cell"
"19","immature natural killer cell"
"20","regulatory T cell"
"21","immature NK T cell"
